Accuracy_%,Precision_%,POD_Recall_%,FAR_%,CSI,ROC_AUC,PR_AUC,Brier,TP,FP,FN,TN,Heldout_Year,Samples,Positives
58.333333333333336,0.0,0.0,100.0,0.0,0.4814814814814815,0.35757575757575755,0.22856265445289245,0,2,3,7,2007,12,3
75.0,0.0,0.0,0.0,0.0,1.0,1.0,0.14284472048935734,0,0,1,3,2013,4,1
57.14285714285714,25.0,14.285714285714285,75.0,0.1,0.4693877551020408,0.33773509403761504,0.3641344872328063,1,3,6,11,2014,21,7
85.0,100.0,40.0,0.0,0.4,0.68,0.5996336996336997,0.1960971402876657,2,0,3,15,2016,20,5
72.20216606498195,43.75,29.577464788732392,56.25,0.21428571428571427,0.613086284698482,0.4338889770398381,0.20212549767040533,21,27,50,179,2018,277,71
58.333333333333336,25.0,33.33333333333333,75.0,0.16666666666666666,0.2962962962962963,0.3106060606060606,0.3694324764680035,1,3,2,6,2019,12,3
